172.24.0.1 - - [17/Feb/2023:03:30:55 +0000] "GET / HTTP/1.1" 499 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
172.24.0.1 - - [17/Feb/2023:03:31:08 +0000] "GET /api/ HTTP/1.1" 500 546988 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:03:33:19 +0000] "GET /api/ HTTP/1.1" 500 546988 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:03:33:52 +0000] "GET /api/ HTTP/1.1" 500 546957 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:03:34:57 +0000] "GET /api/ HTTP/1.1" 200 13 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:03:35:46 +0000] "GET /api/add-index HTTP/1.1" 500 593106 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:03:36:10 +0000] "GET /api/add-index HTTP/1.1" 500 622375 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:03:38:59 +0000] "GET /api/add-index HTTP/1.1" 500 621236 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:03:40:21 +0000] "GET /api/add-index HTTP/1.1" 500 620783 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:03:41:03 +0000] "GET /api/add-index HTTP/1.1" 500 620783 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:03:44:56 +0000] "GET /api/add-index HTTP/1.1" 500 620918 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:04:10:56 +0000] "GET /api/add-index HTTP/1.1" 500 620934 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:04:12:14 +0000] "GET /api/add-index HTTP/1.1" 500 620949 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:04:25:30 +0000] "GET /api/add-index HTTP/1.1" 500 620684 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:04:27:18 +0000] "GET /api/add-index HTTP/1.1" 500 619631 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:04:28:24 +0000] "GET /api/add-index HTTP/1.1" 500 619590 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:04:32:47 +0000] "GET /api/add-index HTTP/1.1" 500 619639 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:04:38:09 +0000] "GET /api/add-index HTTP/1.1" 500 619631 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:04:54:55 +0000] "GET /api/add-index HTTP/1.1" 500 620614 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:04:55:52 +0000] "GET /api/add-index HTTP/1.1" 500 620681 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:04:59:41 +0000] "GET /api/add-index HTTP/1.1" 500 619631 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:05:03:38 +0000] "GET /api/add-index HTTP/1.1" 500 620973 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:05:07:41 +0000] "GET /api/search HTTP/1.1" 500 620320 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:05:08:28 +0000] "GET /api/ HTTP/1.1" 500 620974 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:05:08:54 +0000] "GET /api/ HTTP/1.1" 500 619651 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:05:09:17 +0000] "GET /api/search HTTP/1.1" 500 620361 "-" "PostmanRuntime/7.29.2"
172.24.0.1 - - [17/Feb/2023:05:10:18 +0000] "GET /api/search HTTP/1.1" 500 619730 "-" "PostmanRuntime/7.29.2"
